"coffeid","typeid","value"
60,4,"8.17"
60,5,"7.92"
60,6,"8"
60,7,"10"
60,8,"10"
60,9,"10"
60,10,"8"
60,11,"85.75"
60,12,"0.09"
60,13,"0"
60,14,"4"
60,15,"320"
60,16,"7"
60,17,NA
60,18,NA
61,1,"8"
61,2,"8"
61,3,"8"
61,4,"8.08"
61,5,"7.92"
61,6,"7.75"
61,7,"10"
61,8,"10"
61,9,"10"
61,10,"8"
61,11,"85.75"
61,12,"0.1"
61,13,"4"
61,14,"0"
61,15,"280"
61,16,"6"
61,17,NA
61,18,NA
62,1,"8.33"
62,2,"8.42"
62,3,"7.83"
62,4,"8.33"
62,5,"8"
62,6,"8.25"
62,7,"9.33"
62,8,"9.33"
62,9,"10"
62,10,"7.92"
62,11,"85.75"
62,12,"0.12"
62,13,"0"
62,14,"0"
62,15,"7"
62,16,"1"
62,17,"1700"
62,18,"1700"
63,1,"7.92"
63,2,"8.17"
63,3,"8"
63,4,"7.92"
63,5,"7.75"
63,6,"7.83"
63,7,"10"
63,8,"10"
63,9,"10"
63,10,"8"
63,11,"85.58"
63,12,"0.1"
63,13,"0"
63,14,"0"
63,15,"275"
63,16,"3"
63,17,"1500"
63,18,"1500"
64,1,"7.83"
64,2,"8"
64,3,"8"
64,4,"7.75"
64,5,"7.92"
64,6,"8.17"
64,7,"10"
64,8,"10"
64,9,"10"
64,10,"7.92"
64,11,"85.58"
64,12,"0.11"
64,13,"0"
64,14,"0"
64,15,"19"
64,16,"0"
64,17,"1300"
64,18,"1400"
65,1,"7.83"
65,2,"8"
65,3,"7.92"
65,4,"7.75"
65,5,"8.08"
65,6,"8"
65,7,"10"
65,8,"10"
65,9,"10"
65,10,"8"
65,11,"85.58"
65,12,"0"
65,13,"0"
65,14,"0"
65,15,"8"
65,16,"1"
65,17,NA
65,18,NA
66,1,"8"
66,2,"7.75"
66,3,"7.83"
66,4,"7.83"
66,5,"7.67"
66,6,"8.58"
66,7,"10"
66,8,"10"
66,9,"10"
66,10,"7.83"
66,11,"85.5"
66,12,"0.09"
66,13,"2"
66,14,"0"
66,15,"100"
66,16,"2"
66,17,"1680"
66,18,"1680"
67,1,"7.92"
67,2,"7.92"
67,3,"7.83"
67,4,"8.08"
67,5,"7.83"
67,6,"7.92"
67,7,"10"
67,8,"10"
67,9,"10"
67,10,"8"
67,11,"85.5"
67,12,"0.1"
67,13,"0"
67,14,"0"
67,15,"16"
67,16,"3"
67,17,"1900"
67,18,"1900"
68,1,"7.83"
68,2,"8"
68,3,"7.83"
68,4,"7.92"
68,5,"7.83"
68,6,"8.08"
68,7,"10"
68,8,"10"
68,9,"10"
68,10,"8"
68,11,"85.5"
68,12,"0.12"
68,13,"0"
68,14,"0"
68,15,"320"
68,16,"7"
68,17,"1800"
68,18,"2000"
69,1,"8.33"
69,2,"7.92"
69,3,"7.67"
69,4,"7.92"
69,5,"7.67"
69,6,"7.92"
69,7,"10"
69,8,"10"
69,9,"10"
69,10,"8.08"
69,11,"85.5"
69,12,"0.12"
69,13,"0"
69,14,"0"
69,15,"320"
69,16,"1"
69,17,"1600"
69,18,"1600"
70,1,"8"
70,2,"7.83"
70,3,"7.67"
70,4,"8.33"
70,5,"7.83"
70,6,"8"
70,7,"10"
70,8,"10"
70,9,"10"
70,10,"7.83"
70,11,"85.5"
70,12,"0.11"
70,13,"0"
70,14,"0"
70,15,"250"
70,16,"1"
70,17,"1706.88"
70,18,"1755.648"
71,1,"7.75"
71,2,"7.83"
71,3,"7.83"
71,4,"8.17"
71,5,"7.92"
71,6,"7.83"
71,7,"10"
71,8,"10"
71,9,"10"
71,10,"8.08"
71,11,"85.42"
71,12,"0.1"
71,13,"0"
71,14,"0"
71,15,"320"
71,16,"18"
71,17,"1800"
71,18,"2000"
72,1,"8.08"
72,2,"8"
72,3,"7.83"
72,4,"7.67"
72,5,"8"
72,6,"7.83"
72,7,"10"
72,8,"10"
72,9,"10"
72,10,"8"
72,11,"85.42"
72,12,"0.12"
72,13,"0"
72,14,"0"
72,15,"150"
72,16,"5"
72,17,"1950"
72,18,"1950"
73,1,"7.92"
73,2,"7.92"
73,3,"7.75"
73,4,"7.92"
73,5,"7.75"
73,6,"7.92"
73,7,"10"
73,8,"10"
73,9,"10"
73,10,"8.25"
73,11,"85.42"
73,12,"0"
73,13,"4"
73,14,"0"
73,15,"8"
73,16,"6"
73,17,NA
73,18,NA
74,1,"8"
74,2,"8"
74,3,"8"
74,4,"7.67"
74,5,"7.75"
74,6,"8"
74,7,"10"
74,8,"10"
74,9,"10"
74,10,"8"
74,11,"85.42"
74,12,"0.11"
74,13,"0"
74,14,"0"
74,15,"5"
74,16,"1"
74,17,"1250"
74,18,"1250"
75,1,"8.08"
75,2,"7.83"
75,3,"7.83"
75,4,"8.08"
75,5,"7.83"
75,6,"7.83"
75,7,"10"
75,8,"10"
75,9,"10"
75,10,"7.92"
75,11,"85.42"
75,12,"0.01"
75,13,"0"
75,14,"0"
75,15,"2"
75,16,"0"
75,17,"1400"
75,18,"1400"
76,1,"8"
76,2,"8"
76,3,"8"
76,4,"7.83"
76,5,"7.83"
76,6,"7.75"
76,7,"10"
76,8,"10"
76,9,"10"
76,10,"7.92"
76,11,"85.33"
76,12,"0.1"
76,13,"0"
76,14,"0"
76,15,"3"
76,16,"0"
76,17,"1700"
76,18,"1700"
77,1,"7.83"
77,2,"7.75"
77,3,"7.83"
77,4,"7.67"
77,5,"7.83"
77,6,"8.58"
77,7,"10"
77,8,"10"
77,9,"10"
77,10,"7.83"
77,11,"85.33"
77,12,"0.11"
77,13,"0"
77,14,"0"
77,15,"36"
77,16,"1"
77,17,"1770"
77,18,"1770"
78,1,"7.92"
78,2,"8.08"
78,3,"8"
78,4,"7.92"
78,5,"8"
78,6,"8.08"
78,7,"10"
78,8,"10"
78,9,"9.33"
78,10,"8"
78,11,"85.33"
78,12,"0"
78,13,"0"
78,14,"0"
78,15,"250"
78,16,"0"
78,17,"1300"
78,18,"1300"
79,1,"8"
79,2,"7.58"
79,3,"7.58"
79,4,"7.67"
79,5,"8.08"
79,6,"8.5"
79,7,"10"
79,8,"10"
79,9,"10"
79,10,"7.92"
79,11,"85.33"
79,12,"0.1"
79,13,"0"
79,14,"0"
79,15,"250"
79,16,"2"
79,17,"1300"
79,18,"1300"
80,1,"7.83"
80,2,"8.08"
80,3,"7.75"
80,4,"8.08"
80,5,"7.92"
80,6,"7.75"
80,7,"10"
80,8,"10"
80,9,"10"
80,10,"7.92"
80,11,"85.33"
80,12,"0"
80,13,"0"
80,14,"0"
80,15,"20"
80,16,"2"
80,17,"1600"
80,18,"1600"
81,1,"8"
81,2,"7.92"
81,3,"7.92"
81,4,"8.08"
81,5,"7.83"
81,6,"7.75"
81,7,"10"
81,8,"10"
81,9,"10"
81,10,"7.83"
81,11,"85.33"
81,12,"0"
81,13,"0"
81,14,"0"
81,15,"300"
81,16,"6"
81,17,"1200"
81,18,"1200"
82,1,"7.83"
82,2,"7.83"
82,3,"7.92"
82,4,"8.08"
82,5,"7.75"
82,6,"7.83"
82,7,"10"
82,8,"10"
82,9,"10"
82,10,"8.08"
82,11,"85.33"
82,12,"0.05"
82,13,"0"
82,14,"0"
82,15,"360"
82,16,"2"
82,17,NA
82,18,NA
83,1,"7.92"
83,2,"7.83"
83,3,"7.75"
83,4,"8.33"
83,5,"7.75"
83,6,"7.75"
83,7,"10"
83,8,"10"
83,9,"10"
83,10,"8"
83,11,"85.33"
83,12,"0.1"
83,13,"0"
83,14,"0"
83,15,"300"
83,16,"3"
83,17,NA
83,18,NA
84,1,"8"
84,2,"7.92"
84,3,"7.75"
84,4,"8"
84,5,"7.92"
84,6,"7.83"
84,7,"10"
84,8,"10"
84,9,"10"
84,10,"7.83"
84,11,"85.25"
84,12,"0.1"
84,13,"0"
84,14,"2"
84,15,"250"
84,16,"2"
84,17,NA
84,18,NA
85,1,"8.17"
85,2,"7.92"
85,3,"7.83"
85,4,"8"
85,5,"7.58"
85,6,"7.83"
85,7,"10"
85,8,"10"
85,9,"10"
85,10,"7.92"
85,11,"85.25"
85,12,"0.11"
85,13,"0"
85,14,"0"
85,15,"275"
85,16,"0"
85,17,"1550"
85,18,"1550"
86,1,"7.58"
86,2,"8.08"
86,3,"7.92"
86,4,"7.83"
86,5,"8"
86,6,"7.92"
86,7,"10"
86,8,"10"
86,9,"10"
86,10,"7.92"
86,11,"85.25"
86,12,"0.12"
86,13,"0"
86,14,"0"
86,15,"250"
86,16,"2"
86,17,"1550"
86,18,"1550"
87,1,"7.75"
87,2,"7.83"
87,3,"7.67"
87,4,"8"
87,5,"8.08"
87,6,"7.83"
87,7,"10"
87,8,"10"
87,9,"10"
87,10,"8"
87,11,"85.17"
87,12,"0.11"
87,13,"0"
87,14,"0"
87,15,"54"
87,16,"3"
87,17,"1250"
87,18,"1400"
88,1,"8.25"
